iid	tag
0	1
1	0
2	0
3	0
4	0
5	3
6	0
7	0
8	0
9	0
10	1
11	0
12	3
13	3
14	0
15	0
16	0
17	0
18	1
19	1
20	1
21	3
22	7
23	1
24	0
25	0
26	7
27	0
28	1
29	2
30	0
31	0
32	3
33	0
34	5
35	1
36	3
37	0
38	4
39	0
40	0
41	4
42	4
43	0
44	0
45	3
46	3
47	3
48	0
49	0
50	1
51	3
52	0
53	7
54	0
55	3
56	7
57	0
58	0
59	0
60	0
61	0
62	7
63	0
64	1
65	1
66	3
67	3
68	0
69	0
70	3
71	3
72	5
73	1
74	0
75	3
76	0
77	1
78	1
79	2
80	1
81	2
82	0
83	1
84	0
85	0
86	0
87	0
88	10
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	1
103	0
104	0
105	11
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	9
116	0
117	5
118	0
119	3
120	0
121	0
122	0
123	0
124	0
125	0
126	3
127	0
128	3
129	3
130	3
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	7
139	2
140	0
141	7
142	3
143	3
144	3
145	0
146	0
147	1
148	11
149	1
150	0
151	0
152	3
153	9
154	3
155	5
156	11
157	5
158	5
159	5
160	5
161	0
162	7
163	3
164	7
165	1
166	5
167	0
168	0
169	0
170	0
171	0
172	5
173	0
174	5
175	5
176	1
177	0
178	0
179	7
180	1
181	5
182	7
183	13
184	7
185	5
186	5
187	0
188	9
189	9
190	9
191	9
192	9
193	9
194	9
195	7
196	9
197	11
198	10
199	13
200	7
201	7
202	9
203	7
204	5
205	3
206	14
207	13
208	9
209	9
210	13
211	16
212	13
213	1
214	3
215	0
216	0
217	0
218	0
219	3
220	3
221	0
222	0
223	0
224	0
225	0
226	0
227	0
228	0
229	0
230	0
231	7
232	0
233	7
234	7
235	7
236	5
237	7
238	2
239	2
240	5
241	17
242	8
243	2
244	2
245	9
246	3
247	3
248	5
249	5
250	16
251	2
252	17
253	16
254	22
255	22
256	14
257	2
258	22
259	2
260	5
261	0
262	0
263	0
264	0
265	0
266	23
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	5
277	11
278	22
279	22
280	22
281	11
282	22
283	22
284	16
285	5
286	5
287	5
288	10
289	9
290	5
291	9
292	5
293	5
294	8
295	4
296	2
297	5
298	11
299	7
300	3
301	3
302	3
303	18
304	17
305	18
306	5
307	5
308	23
309	7
310	18
311	2
312	8
313	8
314	8
315	2
316	2
317	16
318	4
319	2
320	6
321	8
322	2
323	5
324	16
325	8
326	11
327	4
328	2
329	2
330	16
331	2
332	2
333	11
334	2
335	2
336	21
337	5
338	13
339	8
340	5
341	2
342	24
343	2
344	22
345	13
346	8
347	23
348	4
349	6
350	9
351	11
352	9
353	9
354	4
355	9
356	0
357	3
358	4
359	3
360	9
361	3
362	22
363	3
364	9
365	3
366	5
367	0
368	18
369	3
370	3
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	0
382	11
383	3
384	3
385	5
386	0
387	3
388	0
389	0
390	0
391	5
392	0
393	0
394	0
395	2
396	1
397	9
398	9
399	22
400	7
401	2
402	8
403	9
404	13
405	2
406	14
407	9
408	9
409	2
410	2
411	9
412	2
413	16
414	22
415	11
416	5
417	23
418	5
419	1
420	1
421	5
422	1
423	22
424	22
425	1
426	5
427	13
428	5
429	1
430	2
431	10
432	22
433	9
434	11
435	1
436	1
437	5
438	2
439	9
440	2
441	22
442	9
443	1
444	8
445	16
446	22
447	5
448	1
449	11
450	22
451	5
452	11
453	22
454	5
455	23
456	2
457	22
458	5
459	5
460	9
461	5
462	22
463	22
464	11
465	4
466	1
467	22
468	22
469	2
470	8
471	2
472	13
473	0
474	16
475	0
476	2
477	13
478	0
479	17
480	23
481	16
482	23
483	0
484	8
485	5
486	0
487	5
488	5
489	2
490	5
491	5
492	0
493	0
494	16
495	18
496	2
497	0
498	23
499	5
500	1
501	13
502	2
503	2
504	13
505	0
506	2
507	23
508	2
509	26
510	10
511	2
512	13
513	5
514	1
515	0
516	0
517	5
518	1
519	9
520	5
521	2
522	5
523	5
524	2
525	11
526	5
527	11
528	9
529	10
530	5
531	10
532	10
533	5
534	5
535	11
536	10
537	2
538	10
539	23
540	5
541	23
542	0
543	10
544	10
545	10
546	10
547	13
548	10
549	5
550	13
551	2
552	5
553	2
554	5
555	5
556	5
557	11
558	2
559	5
560	2
561	5
562	11
563	2
564	7
565	2
566	7
567	23
568	5
569	22
570	10
571	10
572	5
573	5
574	5
575	5
576	5
577	13
578	4
579	8
580	5
581	5
582	5
583	2
584	11
585	13
586	5
587	1
588	7
589	1
590	1
591	7
592	11
593	7
594	7
595	5
596	13
597	13
598	5
599	7
600	5
601	5
602	22
603	4
604	11
605	13
606	5
607	22
608	11
609	11
610	7
611	11
612	10
613	7
614	7
615	11
616	5
617	11
618	7
619	7
620	11
621	11
622	11
623	7
624	7
625	5
626	5
627	11
628	11
629	11
630	11
631	18
632	2
633	11
634	11
635	11
636	11
637	5
638	5
639	11
640	13
641	9
642	12
643	5
644	5
645	5
646	5
647	5
648	11
649	11
650	5
651	23
652	2
653	2
654	2
655	7
656	5
657	10
658	11
659	10
660	5
661	5
662	5
663	5
664	14
665	11
666	5
667	2
668	5
669	22
670	7
671	7
672	5
673	2
674	2
675	2
676	23
677	2
678	11
679	5
680	5
681	11
682	5
683	23
684	7
685	2
686	10
687	23
688	5
689	11
690	11
691	11
692	5
693	11
694	5
695	11
696	11
697	10
698	11
699	10
700	5
701	5
702	0
703	0
704	5
705	5
706	2
707	5
708	9
709	10
710	5
711	11
712	5
713	5
714	5
715	5
716	5
717	5
718	22
719	8
720	5
721	5
722	5
723	5
724	5
725	5
726	3
727	3
728	3
729	5
730	0
731	27
732	5
733	5
734	23
735	23
736	23
737	2
738	2
739	5
740	5
741	5
742	5
743	11
744	11
745	1
746	1
747	2
748	3
749	5
750	3
751	2
752	2
753	2
754	11
755	11
756	17
757	13
758	0
759	22
760	0
761	0
762	15
763	0
764	0
765	1
766	7
767	0
768	0
769	0
770	0
771	2
772	0
773	0
774	0
775	0
776	23
777	27
778	0
779	0
780	4
781	11
782	21
783	4
784	0
785	10
786	4
787	0
788	4
789	9
790	1
791	20
792	11
793	1
794	2
795	18
796	2
797	12
798	9
799	2
800	23
801	4
802	2
803	2
804	4
805	2
806	2
807	2
808	23
809	5
810	2
811	2
812	2
813	2
814	1
815	2
816	4
817	23
818	5
819	2
820	2
821	2
822	23
823	2
824	2
825	4
826	1
827	1
828	11
829	2
830	23
831	11
832	5
833	16
834	2
835	2
836	2
837	2
838	17
839	23
840	11
841	2
842	2
843	2
844	4
845	2
846	2
847	11
848	2
849	4
850	22
851	2
852	2
853	2
854	2
855	2
856	2
857	2
858	1
859	1
860	1
861	0
862	9
863	0
864	18
865	9
866	5
867	5
868	1
869	9
870	5
871	9
872	9
873	9
874	20
875	0
876	9
877	4
878	0
879	9
880	9
881	9
882	9
883	9
884	7
885	9
886	9
887	0
888	0
889	9
890	27
891	9
892	9
893	4
894	9
895	9
896	9
897	7
898	0
899	0
900	10
901	9
902	10
903	0
904	7
905	9
906	27
907	9
908	9
909	9
910	9
911	9
912	18
913	20
914	18
915	9
916	9
917	27
918	9
919	11
920	27
921	9
922	9
923	9
924	9
925	9
926	9
927	9
928	9
929	9
930	11
931	9
932	0
933	9
934	17
935	9
936	0
937	9
938	9
939	23
940	9
941	27
942	12
943	27
944	17
945	11
946	27
947	15
948	8
949	2
950	2
951	2
952	2
953	2
954	13
955	5
956	2
957	17
958	8
959	5
960	2
961	8
962	2
963	2
964	8
965	5
966	22
967	2
968	5
969	5
970	13
971	22
972	2
973	8
974	22
975	20
976	5
977	2
978	22
979	6
980	15
981	9
982	2
983	2
984	22
985	16
986	2
987	2
988	22
989	2
990	5
991	5
992	5
993	5
994	5
995	22
996	0
997	5
998	13
999	2
1000	16
1001	5
1002	2
1003	2
1004	5
1005	5
1006	2
1007	2
1008	2
1009	2
1010	13
1011	5
1012	5
1013	5
1014	1
1015	2
1016	5
1017	5
1018	7
1019	5
1020	9
1021	7
1022	2
1023	2
1024	5
1025	22
1026	5
1027	5
1028	5
1029	2
1030	5
1031	5
1032	5
1033	22
1034	22
1035	5
1036	22
1037	2
1038	8
1039	1
1040	2
1041	5
1042	5
1043	11
1044	5
1045	4
1046	22
1047	22
1048	22
1049	5
1050	5
1051	11
1052	23
1053	5
1054	0
1055	22
1056	2
1057	2
1058	27
1059	7
1060	2
1061	2
1062	7
1063	18
1064	5
1065	5
1066	0
1067	1
1068	1
1069	1
1070	1
1071	2
1072	2
1073	0
1074	22
1075	22
1076	22
1077	1
1078	22
1079	1
1080	2
1081	22
1082	2
1083	5
1084	2
1085	5
1086	8
1087	20
1088	9
1089	5
1090	5
1091	1
1092	5
1093	5
1094	1
1095	9
1096	8
1097	5
1098	1
1099	1
1100	2
1101	5
1102	16
1103	8
1104	5
1105	2
1106	5
1107	8
1108	7
1109	16
1110	5
1111	2
1112	5
1113	2
1114	10
1115	5
1116	2
1117	2
1118	5
1119	15
1120	17
1121	5
1122	7
1123	5
1124	0
1125	7
1126	11
1127	1
1128	2
1129	2
1130	2
1131	2
1132	2
1133	27
1134	2
1135	2
1136	2
1137	2
1138	2
1139	2
1140	2
1141	2
1142	2
1143	2
1144	2
1145	2
1146	2
1147	2
1148	2
1149	2
1150	11
1151	2
1152	5
1153	9
1154	11
1155	17
1156	2
1157	2
1158	7
1159	10
1160	2
1161	17
1162	2
1163	13
1164	5
1165	9
1166	5
1167	23
1168	2
1169	0
1170	9
1171	9
1172	9
1173	0
1174	23
1175	1
1176	7
1177	9
1178	0
1179	4
1180	0
1181	0
1182	21
1183	0
1184	0
1185	17
1186	1
1187	0
1188	11
1189	23
1190	11
1191	23
1192	0
1193	16
1194	22
1195	13
1196	0
1197	0
1198	11
1199	0
1200	4
1201	11
1202	10
1203	5
1204	4
1205	2
1206	10
1207	8
1208	5
1209	11
1210	11
1211	4
1212	14
1213	4
1214	2
1215	4
1216	11
1217	5
1218	4
1219	2
1220	8
1221	2
1222	5
1223	8
1224	2
1225	5
1226	7
1227	27
1228	0
1229	9
