uid	iid
0	67
0	244
0	207
0	221
0	90
0	219
0	58
0	127
0	229
0	4
0	78
0	85
0	95
0	112
0	173
0	160
0	182
0	51
0	27
0	73
0	220
0	34
0	117
0	184
0	119
0	118
0	241
0	123
0	38
0	211
0	239
0	44
0	62
0	233
0	102
0	138
0	39
0	31
0	18
0	238
0	120
0	19
0	186
0	227
0	33
0	91
0	35
0	11
0	29
0	0
0	169
0	159
0	180
0	147
0	150
0	116
0	93
0	28
0	16
0	234
0	231
0	187
0	99
0	237
0	47
0	195
0	40
0	110
0	213
0	69
0	88
0	170
0	174
0	114
0	176
0	59
0	166
0	148
0	242
0	89
0	14
0	158
0	21
0	56
0	210
0	55
0	106
0	84
0	53
0	197
0	201
0	107
0	171
0	42
0	17
0	5
0	183
0	185
0	48
0	198
0	66
0	70
0	217
0	152
0	132
0	54
0	130
0	98
0	168
0	122
0	108
0	226
0	97
0	82
0	196
0	105
0	205
0	94
0	177
0	12
0	164
0	224
0	222
0	223
0	236
0	200
0	179
0	81
0	124
0	161
0	163
0	13
0	216
0	167
0	45
0	243
0	103
0	36
0	199
0	228
0	191
0	145
0	75
0	154
0	225
0	190
0	2
1	249
1	247
1	245
2	251
2	253
2	254
3	128
3	267
3	286
3	257
3	285
3	261
3	260
3	289
3	150
3	273
3	278
3	296
3	281
3	244
3	282
3	280
3	292
3	269
3	256
3	279
3	275
3	297
3	187
3	298
3	270
3	300
3	272
3	303
3	276
3	291
3	264
3	283
3	295
4	115
4	190
4	307
4	208
4	305
4	252
5	328
5	330
5	344
5	317
5	325
5	319
5	320
5	341
5	345
5	332
5	323
5	340
5	313
5	326
5	322
5	348
5	324
5	333
5	337
5	321
5	315
5	312
5	347
5	311
6	369
6	362
6	355
6	356
6	370
6	354
6	353
6	350
6	245
6	361
6	365
6	364
6	367
7	386
7	380
7	382
7	385
7	381
7	384
7	388
7	391
7	393
7	375
7	121
7	377
7	390
7	387
7	392
8	83
8	457
8	327
8	451
8	445
8	438
8	427
8	411
8	452
8	115
8	400
8	429
8	459
8	462
8	453
8	153
8	404
8	398
8	432
8	440
8	433
8	467
8	458
8	441
8	430
8	436
8	409
8	416
8	405
8	454
8	465
8	410
8	419
8	426
8	180
8	449
8	428
8	395
8	418
8	402
8	397
8	439
8	455
8	450
8	85
8	408
8	456
8	444
8	285
8	446
9	572
9	603
9	564
9	535
9	730
9	627
9	690
9	501
9	512
9	496
9	538
9	708
9	524
9	322
9	714
